productId,slug,sku,name,sourceField,url,hostname,objectPath,extension,isTempPath,isMalformed,isDuplicate,httpStatus,contentType,contentLength,durationMs,width,height,cacheControl,isBroken,isSlow,isSevereSlow,isOversized,isSevereOversized,hasExcessiveDimensions,error
da13f7a9-6407-4d4a-b206-9bc827519f0c,designer-mauli-rakhi,KB-RA-0103,Designer Mauli Rakhi,imageUrl,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1601121141461-9d6647bca1ed,,false,false,true,200,image/jpeg,106002,26,1000,693,"public, max-age=31536000",false,false,false,false,false,false,
da13f7a9-6407-4d4a-b206-9bc827519f0c,designer-mauli-rakhi,KB-RA-0103,Designer Mauli Rakhi,product_images[0].image_url,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1601121141461-9d6647bca1ed,,false,false,true,200,image/jpeg,106002,26,1000,693,"public, max-age=31536000",false,false,false,false,false,false,
91b1fecf-6e66-4fa6-a9db-c33accaad3ac,antique-gold-bangle-pair,KB-BG-AG-909,Antique Gold Bangle Pair,image,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1611591437281-460bfbe1220a,,false,false,true,200,image/jpeg,59797,10,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
91b1fecf-6e66-4fa6-a9db-c33accaad3ac,antique-gold-bangle-pair,KB-BG-AG-909,Antique Gold Bangle Pair,imageUrl,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1611591437281-460bfbe1220a,,false,false,true,200,image/jpeg,59797,10,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
91b1fecf-6e66-4fa6-a9db-c33accaad3ac,antique-gold-bangle-pair,KB-BG-AG-909,Antique Gold Bangle Pair,product_images[0].image_url,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1611591437281-460bfbe1220a,,false,false,true,200,image/jpeg,59797,10,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
549ecffd-9f54-4cc2-bcc9-df012aff0fe6,imported-beauty-organizer,KB-IM-1201,Imported Beauty Organizer,image,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1513885535751-8b9238bd345a,,false,false,true,200,image/jpeg,111749,61,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
549ecffd-9f54-4cc2-bcc9-df012aff0fe6,imported-beauty-organizer,KB-IM-1201,Imported Beauty Organizer,imageUrl,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1513885535751-8b9238bd345a,,false,false,true,200,image/jpeg,111749,61,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
549ecffd-9f54-4cc2-bcc9-df012aff0fe6,imported-beauty-organizer,KB-IM-1201,Imported Beauty Organizer,product_images[0].image_url,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1513885535751-8b9238bd345a,,false,false,true,200,image/jpeg,111749,61,1000,667,"public, max-age=31536000",false,false,false,false,false,false,
74355f8e-e381-40cb-8131-3fc997a34f1c,kids-cartoon-rakhi-combo,KB-RA-0105,Kids Cartoon Rakhi Combo,image,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1601121141461-9d6647bca1ed,,false,false,true,200,image/jpeg,106002,26,1000,693,"public, max-age=31536000",false,false,false,false,false,false,
74355f8e-e381-40cb-8131-3fc997a34f1c,kids-cartoon-rakhi-combo,KB-RA-0105,Kids Cartoon Rakhi Combo,imageUrl,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1601121141461-9d6647bca1ed,,false,false,true,200,image/jpeg,106002,26,1000,693,"public, max-age=31536000",false,false,false,false,false,false,
74355f8e-e381-40cb-8131-3fc997a34f1c,kids-cartoon-rakhi-combo,KB-RA-0105,Kids Cartoon Rakhi Combo,product_images[0].image_url,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&w=1000&q=80,images.unsplash.com,/photo-1601121141461-9d6647bca1ed,,false,false,true,200,image/jpeg,106002,26,1000,693,"public, max-age=31536000",false,false,false,false,false,false,
